OID,COUNT,FOR_TEN,FOR_CATEGO,FOREST,STATE,FOR_BURNS,FOR_BURN_T
33971,606602, ,Non-forest,0,Vic,-9, 
33972,372644,NCR,Native forest,1,Vic,0,Forest not burnt
33973,352,NCR,Other forest,1,Vic,0,Forest not burnt
33975,259097,PRIV,Native forest,1,Vic,0,Forest not burnt
33976,39556,PRIV,Native forest,1,Vic,0,Forest not burnt
33977,13317778, ,Non-forest,0,Vic,-9, 
33979,4986,PRIV,Native forest,1,Vic,0,Forest not burnt
33980,139165,NCR,Native forest,1,Vic,0,Forest not burnt
33981,11225,NCR,Native forest,1,Vic,0,Forest not burnt
33982,2397,PRIV,Native forest,1,Vic,0,Forest not burnt
33983,6404, ,Non-forest,0,Vic,-9, 
33986,736411,NCR,Native forest,1,Vic,0,Forest not burnt
33988,114076,NCR,Native forest,1,Vic,0,Forest not burnt
33998,21821,PRIV,Native forest,1,Vic,0,Forest not burnt
33999,4214,OCL,Native forest,1,Vic,0,Forest not burnt
34000,329291, ,Non-forest,0,Vic,-9, 
34004,35476,PRIV,Native forest,1,Vic,0,Forest not burnt
34008,8437,NCR,Native forest,1,Vic,0,Forest not burnt
34015,37242,OCL,Native forest,1,Vic,0,Forest not burnt
34022,12890,OCL,Native forest,1,Vic,0,Forest not burnt
34032,665973,NCR,Native forest,1,Vic,0,Forest not burnt
34033,22,LEASE,Native forest,1,Vic,0,Forest not burnt
34036,686,PRIV,Native forest,1,Vic,0,Forest not burnt
34037,4324,PRIV,Native forest,1,Vic,0,Forest not burnt
34039,8,LEASE,Native forest,1,Vic,0,Forest not burnt
34042,23015,NCR,Native forest,1,Vic,0,Forest not burnt
34044,114871,NCR,Native forest,1,Vic,0,Forest not burnt
34047,10504,NCR,Native forest,1,Vic,0,Forest not burnt
34050,3495,NCR,Native forest,1,Vic,0,Forest not burnt
34051,1049,OCL,Native forest,1,Vic,0,Forest not burnt
34052,29321,NCR,Native forest,1,Vic,0,Forest not burnt
34053,445,OCL,Native forest,1,Vic,0,Forest not burnt
34054,406899,PRIV,Native forest,1,Vic,0,Forest not burnt
34055,1518,NCR,Native forest,1,Vic,0,Forest not burnt
34056,40817,PRIV,Native forest,1,Vic,0,Forest not burnt
34062,1447,OCL,Native forest,1,Vic,0,Forest not burnt
34066,8459,PRIV,Native forest,1,Vic,0,Forest not burnt
34069,5685,NCR,Native forest,1,Vic,0,Forest not burnt
34073,3350,PRIV,Native forest,1,Vic,0,Forest not burnt
34074,884,NCR,Native forest,1,Vic,0,Forest not burnt
34076,1112,OCL,Native forest,1,Vic,0,Forest not burnt
34078,94624, ,Non-forest,0,Vic,-9, 
34080,5300,MUF,Native forest,1,Vic,0,Forest not burnt
34081,6267, ,Non-forest,0,Vic,-9, 
34082,606,MUF,Native forest,1,Vic,0,Forest not burnt
34083,373,OCL,Native forest,1,Vic,0,Forest not burnt
34084,1861,MUF,Native forest,1,Vic,0,Forest not burnt
34086,21032,MUF,Native forest,1,Vic,0,Forest not burnt
34088,7957,MUF,Native forest,1,Vic,0,Forest not burnt
34089,146443,MUF,Native forest,1,Vic,0,Forest not burnt
34094,1103,MUF,Native forest,1,Vic,0,Forest not burnt
34103,783,NCR,Native forest,1,Vic,0,Forest not burnt
34108,249,NCR,Other forest,1,Vic,0,Forest not burnt
34119,261,PRIV,Native forest,1,Vic,0,Forest not burnt
34125,3653,PRIV,Native forest,1,Vic,0,Forest not burnt
34128,2616,PRIV,Other forest,1,Vic,0,Forest not burnt
34129,144035,NCR,Native forest,1,Vic,0,Forest not burnt
